title,season,episode,og_date,month,color_list,subject
A Walk in the Woods,1,1,January 11 1983,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']"
Mt. McKinley,1,2,January 11 1983,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CLIFF', 'CLOUDS', 'MOON', 'SEASHELL_FRAME', 'SNOW', 'TOMB_FRAME', 'TREE', 'WINDOW_FRAME']"
Ebony Sunset,1,3,January 18 1983,January,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'FENCE', 'MOUNTAIN', 'MOUNTAINS', 'STRUCTURE', 'SUN', 'TREE', 'TREES', 'WINTER']"
Winter Mist,1,4,January 25 1983,January,"['Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Quiet Stream,1,5,February 1 1983,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['DECIDUOUS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Winter Moon,1,6,February 8 1983,February,"['Black Gesso', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'LAKE', 'MOON', 'MOUNTAIN', 'MOUNTAINS', 'NIGHT', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Autumn Mountain,1,7,February 15 1983,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Peaceful Valley,1,8,February 22 1983,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']"
Seascape,1,9,March 1 1983,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLOUDS', 'FENCE', 'OCEAN']"
Mountain Lake,1,10,March 8 1983,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'TREE', 'TREES']"
